Headline,Level,Type,Label,Score
The Mandalorian & Grogu's Sigourney Weaver on Grogu Stealing Her Heart and More - Star Wars Celebration - IGN,Other,Entertainment,neutral,0.8805121779441833
Trump official to Katy Perry and Bezos’ fiancée: “You cannot identify as an astronaut” - Ars Technica,Other,Other,neutral,0.6635409593582153
"US will drop Ukraine ceasefire efforts if progress is not made soon, says Trump - France 24",Geopolitical,WorldNews,negative,0.5019391775131226
Grad student shot at FSU recounts harrowing moment gunman reloaded as she played dead - ABC News,Other,Crime,neutral,0.6406658887863159
DHS Releases Bombshell Investigative Report on Kilmar Abrego Garcia Suspected Human Trafficking Incident - Homeland Security (.gov),MajorCrisis,Crime,neutral,0.9081540703773499
"NBA Player Props for Andrew Wiggins, Dyson Daniels on Friday, April 18 - Action Network",Other,Sports,neutral,0.9436836838722229
"Court filings describe DOGE-led, scream-filled, 36-hour mass layoff scramble at consumer protection agency - Fortune",Company,Other,negative,0.7149713039398193
'Olo' is a brand-new color only ever seen by 5 people - Live Science,Other,Science,neutral,0.8857325911521912
"Missouri has first confirmed measles case, health officials say - FOX4KC.com",Government,Health,neutral,0.9097993969917297
Rover finds hints of an ancient Martian carbon cycle - Ars Technica,Other,Science,neutral,0.9096060395240784
The Gigabyte GeForce RTX 5070 Graphics Card Is in Stock at MSRP for Amazon Prime Members - IGN,Company,Technology,neutral,0.7532588243484497
"With iPhone 17 Pro Max, Apple may finally grant this years-old wish - 9to5Mac",Company,Technology,positive,0.8900839686393738
Bungie Lifts NDA On ‘Marathon’ Closed Alpha Before Release Date - Forbes,Other,Entertainment,neutral,0.9360477328300476
Microsoft researchers create super‑efficient AI that uses up to 96% less energy - Ars Technica,Company,Technology,positive,0.8911279439926147
Synology confirms that higher-end NAS products will require its branded drives - Ars Technica,Company,Technology,neutral,0.8375276923179626
MicroSD Express Cards Are Selling Out Because Of The Switch 2 - Kotaku,MarketSector,Technology,negative,0.5817093849182129
Blue Prince has over 25% of Steam players losing all their free time to it - Polygon,Other,Entertainment,negative,0.6825132369995117
Mandragora's Dark Fantasy World Offers A Lengthy Campaign With Tons Of Secrets - Kotaku,Other,Entertainment,neutral,0.9104332327842712
Your Windows 10 PC isn't dead yet - this OS from Google can revive it - ZDNET,Other,Technology,positive,0.6955205798149109
That Google email look real? Don't click - it might be scam. Here's how to tell - ZDNet,Other,Technology,negative,0.6499927639961243
Rune Factory: Guardians Of Azuma Switch 2 Cart Will Apparently Also Work On Switch 1 - Nintendo Life,Other,Entertainment,neutral,0.7332910895347595
Battlestate Games Intends to Release Tarkov 1.0 This Year - Insider Gaming,Company,Entertainment,neutral,0.9155915975570679
"Apple One could add a new service in iOS 19, here’s what’s coming - 9to5Mac",Company,Technology,positive,0.5580547451972961
"YouTube Music rolling out ‘Consistent volume’ on Android, iOS - 9to5Google",Company,Technology,neutral,0.649258017539978
"Massive Best Buy weekend sale is live from $7 — here's 27 deals I'd shop on Apple, Lego, OLED TVs and more - Tom's Guide",Other,Other,positive,0.8699876666069031
The Apple Watch Series 10 Drops to the Lowest Price Ever on Amazon for a Limited Time - IGN,Company,Technology,neutral,0.5904979109764099
Lunar Remastered Collection Is Available Now And Exclusive To Amazon - GameSpot,Other,Entertainment,positive,0.5712418556213379
The Nintendo Switch 2 Price Won’t Get Hit By Trump’s Tariffs - WIRED,Company,Entertainment,neutral,0.7863951325416565
Kingdom Hearts Fans Are Feasting On Crumbs After Disney Referenced The Series In A Small Way - Kotaku,Other,Entertainment,neutral,0.4918782711029053
Oblivion Remastered: Everything We Know Ahead of Its Rumoured Release Next Week - Push Square,Other,Entertainment,neutral,0.8556081056594849
